Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8
qNet-dvdtmax-vmax-APD50-APD90-camax-carest-CaTD50,0.8125,0.5,0.8125,0.872727273,0.777777778,0.927083333,0.6,0.571428571,0.75,0.818181818,0.571428571,0.833333333,4.3999813,1.666665111,4.499979,0.440000616,0.653401757,0.30000084,0.666666667,0.614285714,0.666666667,0.200353857,0.933649289,0.7,-13.03305426,69.57579221,-135.6042773,16.33628295,-11.39188649,-82.08307379,82.72323843,-72.10531647,97.79119125,-19.66653949
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD50,0.8125,0.5,0.75,0.836363636,0.841269841,0.90625,0.6,0.428571429,0.75,0.818181818,0.714285714,0.666666667,4.3999813,2.49999475,2.999992,0.440000616,0.653061621,0.30000084,0.666666667,0.571428571,0.615384615,0.264853633,0.90521327,0.7,-11.46558646,29.52696294,-70.23558859,-4.274789611,-5.207395998,-62.25398939,26.5568226,12.15359832,5.958926005,7.411373205
qNet-dvdtmax-vmax-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.5,0.75,0.836363636,0.746031746,0.8125,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.245777759,0.914691943,0.7,-63.41813065,104.1624932,-242.1349399,36.09802437,-1.517951747,12.3007137,-5.718610048,45.01886053,-61.50827536,80.29652274
qNet-dvdtmax-vmax-APD90-camax-carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.818181818,0.714285714,0.916666667,0.6,0.428571429,0.75,0.727272727,0.571428571,0.833333333,2.933326244,1.49999825,4.499979,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.262406731,0.914691943,0.7,-48.5625334,-7.946986325,-65.17650469,-9.531526683,9.280249257,71.79767562,-109.417541,109.987935,-121.5761566,132.628512
qNet-dvdtmax-vrest-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.5,0.75,0.818181818,0.80952381,0.854166667,0.6,0.571428571,0.75,0.909090909,0.6,0.666666667,6.599938401,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.615384615,0.6,0.292245323,0.900473934,0.7,-23.32510859,94.2052914,-193.3649225,-14.08234771,-7.620144318,-144.2483698,53.39962541,69.07519808,29.79436561,0.74855629
qNet-dvdtmax-vrest-APD50-max_dv-camax-carest-CaTD50,0.75,0.5625,0.875,0.872727273,0.777777778,0.9375,0.4,0.571428571,0.75,0.909090909,0.5,0.833333333,4.3999626,1.499999125,5.99997,0.660000374,0.642857679,0.272728066,0.5,0.615384615,0.75,0.238697729,0.943127962,0.7,-21.63880226,17.08560019,19.35977963,17.81796157,145.075768,267.1427345,-57.17760732,-111.366506,-61.70836288,-59.61390882
qNet-dvdtmax-vrest-APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.854545455,0.761904762,0.927083333,0.4,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.428570571,4.499979,0.6000004,0.642857679,0.30000084,0.571428571,0.615384615,0.666666667,0.223363338,0.933649289,0.7,-56.71076352,21.74006147,-83.96472833,23.30001506,94.81492902,50.08107849,7.867833017,-9.991120954,-124.068219,214.1227223
qNet-dvdtmax-vrest-APD90-max_dv-camax-carest-CaTD90,0.8125,0.4375,0.6875,0.854545455,0.73015873,0.875,0.4,0.428571429,1,1,0.571428571,0.583333333,400000.2007,1,2.39999664,0.6000004,1,1.71E-06,0.571428571,0.461538462,0.615384615,0.371505795,0.91943128,0.7,-63.21697029,78.79874616,-190.0224641,20.99470012,77.04935936,85.06229841,-48.1478142,-4.48447135,-82.45474675,-25.66716922
qNet-dvdtmax-APD50-APD90-max_dv-camax-carest-CaTD50,0.75,0.5625,0.875,0.854545455,0.714285714,0.947916667,0.4,0.571428571,0.75,0.818181818,0.5,0.833333333,3.29998735,1.666665111,5.99997,0.660000374,0.60000056,0.272728066,0.5,0.615384615,0.75,0.228410791,0.938388626,0.7,-23.03770911,10.42304782,-67.346945,47.97358385,-107.2869259,316.0699017,-107.0625103,-67.13902816,4.812677605,-48.33551427
qNet-dvdtmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.73015873,0.885416667,0.6,0.285714286,0.75,0.818181818,0.6,0.666666667,4.3999813,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.4,0.6,0.259878113,0.938388626,0.7,-39.1713059,42.58644838,-160.1005058,45.65375569,63.20298804,-36.49309645,-49.36282537,13.41210167,-76.87738033,75.01634928
