Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
vmax-camax-CaTD90,0.8125,0.4375,0.75,0.927272727,0.777777778,0.916666667,0.8,0.142857143,0.75,0.727272727,0.833333333,0.666666667,3.666656889,1.714281429,2.999992,0.244445368,0.857143029,0.333334222,0.727272727,0.25,0.6,0.284865674,0.933649289,0.733333333,-1.317898268,9.75253458,25.58231003,17.31463056,29.54199304
carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.927272727,0.80952381,0.9375,0.8,0.285714286,0.75,0.727272727,0.75,0.75,3.29998735,1.9999965,3.999988,0.275000997,0.80000028,0.30000084,0.666666667,0.444444444,0.666666667,0.211886816,0.943127962,0.733333333,-32.37548632,-26.29810841,86.1849537,-86.50636671,192.8640132
qNet-dvdtmax-vmax,0.8125,0.5,0.75,0.836363636,0.746031746,0.895833333,0.6,0.428571429,0.75,0.909090909,0.5,0.666666667,6.599938401,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.545454545,0.6,0.258286784,0.909952607,0.7,-13.07511843,21.70276043,-45.87959689,-11.01036405,12.39784285
qNet-dvdtmax-camax,0.75,0.4375,0.75,0.872727273,0.745634921,0.90625,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.333332556,2.999992,0.440000616,0.816326741,0.333334222,0.666666667,0.5,0.6,0.234589396,0.924170616,0.7,-8.730420165,27.69424322,-51.44670717,10.91964289,8.292642872
qNet-dvdtmax-carest,0.75,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.428570357,3.999988,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.225435156,0.924170616,0.7,-6.390173027,30.01014993,-50.7091753,8.682524682,13.37698277
qNet-dvdtmax-CaTD50,0.8125,0.5,0.75,0.818181818,0.793650794,0.895833333,0.6,0.571428571,0.75,0.909090909,0.5,0.666666667,6.5999384,1.666665111,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.615384615,0.6,0.288135341,0.90521327,0.7,-14.29279364,24.3715514,-58.74339216,-0.764912721,-6.296253012
qNet-vmax-vrest,0.8125,0.5625,0.75,0.818181818,0.80952381,0.90625,0.6,0.571428571,0.75,0.818181818,0.571428571,0.75,4.3999813,1.714284286,2.999992,0.440000616,0.60000056,0.333334222,0.666666667,0.615384615,0.6,0.276599207,0.90521327,0.7,-6.123421858,36.03740516,-56.32194741,-6.746964744,25.3069521
qNet-vrest-APD50,0.75,0.5,0.75,0.818181818,0.777777778,0.90625,0.6,0.571428571,0.75,0.818181818,0.5,0.75,3.29998735,1.428570571,2.999992,0.488889514,0.750000437,0.333334222,0.6,0.571428571,0.6,0.257612085,0.909952607,0.7,-4.905478575,36.96017362,-52.46073737,23.23925124,3.532838522
qNet-vrest-APD90,0.75,0.5,0.75,0.818181818,0.777777778,0.90625,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.428570571,2.999992,0.488889514,0.71428619,0.333334222,0.6,0.545454545,0.6,0.252045698,0.909952607,0.7,-5.138335284,36.39069736,-52.19481044,23.10837701,4.581233343
qNet-vrest-max_dv,0.75,0.5,0.75,0.836363636,0.777777778,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.428570571,2.999992,0.488889514,0.685714789,0.333334222,0.6,0.545454545,0.6,0.24783033,0.909952607,0.7,-5.213720937,36.21103198,-52.42717021,22.59171239,2.842980369
qNet-APD50-APD90,0.8125,0.4375,0.75,0.872727273,0.761904762,0.84375,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999992,0.440000616,0.80000028,0.30000084,0.666666667,0.5,0.615384615,0.284273379,0.914691943,0.7,-71.61613878,88.07365713,-254.7128992,-65.11499721,50.51464407
qNet-camax-carest,0.75,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.833333333,3.29998735,1.49999825,4.499979,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.224287831,0.928909953,0.7,-0.52522282,35.18930428,-47.78158444,-25.25540793,52.41428882
dvdtmax-vmax-CaTD90,0.8125,0.4375,0.75,0.854545455,0.666666667,0.895833333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.071428464,2.999992,0.440000616,0.914285851,0.333334222,0.666666667,0.461538462,0.6,0.286625081,0.914691943,0.7,-2.187444894,7.930692372,-20.5878029,33.27650244,12.97135427
vmax-vrest-APD90,0.6875,0.5,0.8125,0.836363636,0.73015873,0.9375,1,0.142857143,0.75,0.545454545,0.857142857,0.833333333,2.19999736,1.142856,4.499979,1.83E-06,0.97959186,0.30000084,0.666666667,0.222222222,0.666666667,0.32599349,0.91943128,0.7,4.189448242,11.45732136,8.237506962,9.532174203,13.82094753
