Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
qNet-camax-carest-CaTD50,0.75,0.5,0.8125,0.836363636,0.714285714,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.285713429,3.999988,0.488889514,0.857143002,0.30000084,0.6,0.5,0.666666667,0.247334172,0.914691943,0.7,-2.697420809,35.44803577,-54.21583243,-25.10371583,45.41681319,-4.85276673
qNet-camax-carest-CaTD90,0.75,0.5,0.8125,0.854545455,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.333332556,3.999988,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.234825659,0.914691943,0.7,-2.810483555,34.83568777,-53.05812793,-20.05693329,37.06142006,-6.730091394
dvdtmax-vmax-APD50-camax,0.75,0.4375,0.75,0.872727273,0.73015873,0.90625,0.8,0.142857143,0.75,0.636363636,0.714285714,0.75,2.749995187,1,2.999992,0.275000997,1,0.333334222,0.666666667,0.222222222,0.6,0.297109795,0.924170616,0.7,-2.881962022,11.9127167,-26.68941225,38.72424673,22.99716649,-9.043096461
dvdtmax-vmax-APD50-CaTD50,0.75,0.4375,0.75,0.890909091,0.73015873,0.916666667,0.8,0.142857143,0.75,0.636363636,0.714285714,0.75,2.749995188,1.142856,2.999992,0.275000997,0.97959186,0.333334222,0.666666667,0.222222222,0.6,0.278919069,0.928909953,0.7,0.046037256,14.61951097,-26.69583056,37.84693546,12.48000353,6.978577702
dvdtmax-vmax-APD50-CaTD90,0.75,0.4375,0.75,0.890909091,0.746031746,0.916666667,0.8,0.142857143,0.75,0.636363636,0.666666667,0.75,2.749995188,1.142856,2.999992,0.275000997,0.97959186,0.333334222,0.666666667,0.222222222,0.6,0.270599216,0.933649289,0.7,-3.565318355,11.13548741,-26.44657722,38.301451,15.38510479,10.89160747
dvdtmax-vmax-APD90-camax,0.75,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.8,0.142857143,0.75,0.636363636,0.714285714,0.75,2.749995187,1.142856,3.999988,0.275000997,0.97959186,0.30000084,0.666666667,0.222222222,0.666666667,0.279578954,0.928909953,0.7,-2.732969973,10.88291624,-28.84940947,42.03973801,21.92226309,-12.28576928
dvdtmax-vmax-APD90-carest,0.75,0.5,0.8125,0.890909091,0.746031746,0.916666667,0.8,0.285714286,0.75,0.727272727,0.666666667,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143029,0.30000084,0.666666667,0.363636364,0.666666667,0.252638202,0.933649289,0.7,-5.694287345,7.375304656,-25.41969043,41.49313609,22.10838372,-18.62140738
dvdtmax-vmax-APD90-CaTD50,0.75,0.4375,0.75,0.890909091,0.746031746,0.916666667,0.8,0.142857143,0.75,0.636363636,0.714285714,0.75,2.749995188,1.142856,2.999992,0.275000997,0.97959186,0.333334222,0.666666667,0.222222222,0.6,0.266284373,0.933649289,0.7,0.552720314,14.56629925,-27.7518627,39.27282102,10.34709436,8.159860309
dvdtmax-vmax-APD90-CaTD90,0.75,0.5,0.8125,0.890909091,0.746031746,0.916666667,0.8,0.142857143,0.75,0.636363636,0.666666667,0.75,2.749995188,1.28214034,3.999988,0.275000997,0.952381016,0.30000084,0.666666667,0.25,0.666666667,0.254690308,0.933649289,0.7,-3.581987325,10.41441814,-27.72859748,40.26044159,13.20799972,13.15431865
dvdtmax-vmax-camax-CaTD90,0.75,0.4375,0.75,0.909090909,0.746031746,0.895833333,0.8,0.142857143,0.75,0.727272727,0.666666667,0.75,2.933326244,1,2.999992,0.275000997,1,0.333334222,0.666666667,0.222222222,0.6,0.266134704,0.933649289,0.7,-4.565883477,9.92253979,-25.93264889,41.59980085,18.85856587,33.30688342
