Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5
qNet-dvdtmax-APD50-max_dv-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.265566017,0.909952607,0.733333333,-14.49647462,16.06697236,-41.69966092,-17.02482684,0.185725648,-4.598793931,-6.009410641
qNet-dvdtmax-APD50-camax-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.251571269,0.91943128,0.733333333,-14.35606115,16.10048065,-38.7279223,-17.01821296,-9.017763277,-2.121081679,5.616557942
qNet-dvdtmax-APD50-camax-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.265535359,0.914691943,0.733333333,-19.13891068,13.24558739,-43.0506887,-9.23629627,15.61695,-7.948033649,-14.94115852
qNet-dvdtmax-APD50-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.265629668,0.914691943,0.733333333,-16.4556117,15.34794254,-42.23072749,-12.66520841,-1.071378142,0.302030027,-5.593067677
qNet-dvdtmax-APD50-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.259653846,0.91943128,0.733333333,-17.43033453,16.28519407,-37.49177011,-27.01509156,-60.2634286,31.63696629,49.89680688
qNet-dvdtmax-APD90-camax-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.23989904,0.91943128,0.733333333,-13.99609465,15.61537592,-33.01069033,-13.09247177,-3.764072922,-4.883640627,8.407393696
qNet-dvdtmax-APD90-camax-CaTD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.761905079,0.333334222,0.727272727,0.545454545,0.6,0.234330234,0.928909953,0.733333333,-22.03902719,8.434031311,-38.89830055,2.719993619,43.2167027,-17.42235442,-25.56136929
qNet-dvdtmax-APD90-camax-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.251821288,0.91943128,0.733333333,-15.55485871,14.88214831,-35.32099108,-8.415962774,-6.708838209,7.894600815,2.565290087
qNet-dvdtmax-APD90-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.255091982,0.91943128,0.733333333,-15.15062264,15.76238464,-32.79077159,-13.19737924,-14.94647661,10.96257505,10.74019339
qNet-dvdtmax-APD90-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.714286429,0.333334222,0.75,0.571428571,0.6,0.249466371,0.924170616,0.733333333,-44.11060812,-11.9192563,-37.88096045,16.8632914,42.19773607,-59.4304855,73.44161991
qNet-dvdtmax-max_dv-camax-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.263741092,0.914691943,0.733333333,-14.59181834,16.74668937,-37.56023882,-17.58947348,-6.900010716,-6.745616775,9.65120485
qNet-dvdtmax-max_dv-camax-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.265096026,0.914691943,0.733333333,-17.05923479,14.68745771,-44.19435543,-13.41973069,3.101102888,-3.59158461,-9.473747087
qNet-dvdtmax-max_dv-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.265598232,0.914691943,0.733333333,-16.61163428,15.29625853,-42.11534664,-12.14613098,-0.250722775,0.18266983,-5.870790414
qNet-dvdtmax-max_dv-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.190475873,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.545454545,0.6,0.263396831,0.91943128,0.733333333,-26.01315769,7.071142749,-43.8235177,-2.057408707,10.26261628,-27.88720441,29.32530148
qNet-dvdtmax-camax-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.5,0.6,0.265000936,0.914691943,0.733333333,-15.32087522,16.29125755,-42.03732591,-20.58342656,-16.57227967,11.3041125,-7.718963522
qNet-dvdtmax-camax-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.23637489,0.91943128,0.733333333,-13.93567393,15.17214321,-30.98508987,-10.29606437,-4.809577222,7.93014089,-1.105469394
qNet-dvdtmax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.257674482,0.91943128,0.733333333,-37.50004133,-3.823585817,-35.95542387,-1.515901809,15.65058141,-41.9232361,77.3825195
qNet-vmax-vrest-APD50-APD90,0.8125,0.4375,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.428570357,2.999992,0.440000616,0.750000438,0.333334222,0.666666667,0.545454545,0.6,0.220446782,0.928909953,0.733333333,-13.08870793,13.99028974,-15.7851459,0.001274304,12.04391004,0.419208849,20.14015508
