Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
qNet-dvdtmax-APD90-camax,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.245970877,0.91943128,0.733333333,-15.21245175,14.89707892,-35.24700606,-8.759164848,-4.031037184,5.95267801
qNet-dvdtmax-APD90-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.241629487,0.91943128,0.733333333,-14.5744637,15.31165745,-34.02130968,-11.10970934,-3.834770814,4.653802751
qNet-dvdtmax-APD90-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.544318182,0.6,0.245278815,0.924170616,0.733333333,-17.26587208,13.50402969,-35.49853183,-2.617288424,11.26674063,-7.781669369
qNet-dvdtmax-APD90-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.23886072,0.91943128,0.733333333,-14.01891146,14.84654206,-35.093954,-10.23620976,3.347407077,-7.500247576
qNet-dvdtmax-max_dv-camax,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.264215004,0.914691943,0.733333333,-16.00187191,15.98802314,-39.90010168,-12.01904971,-6.760956845,5.788971901
qNet-dvdtmax-max_dv-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.26412069,0.914691943,0.733333333,-15.38103501,16.39551792,-38.82734996,-14.53999385,-6.795810903,4.531423435
qNet-dvdtmax-max_dv-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.265629668,0.914691943,0.733333333,-16.66074464,15.23754775,-42.25877913,-12.1039898,-0.018673373,-6.096184425
qNet-dvdtmax-max_dv-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.265471707,0.914691943,0.733333333,-14.48528354,16.06669534,-41.74367955,-17.09579932,-4.51576392,-5.984577774
qNet-dvdtmax-camax-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.236154616,0.91943128,0.733333333,-14.02140354,15.04796441,-29.99488936,-9.301107993,-4.583195934,8.496573794
qNet-dvdtmax-camax-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.264907405,0.914691943,0.733333333,-16.93627063,15.32774614,-44.57988811,-14.09447353,-1.708268053,-7.489409233
qNet-dvdtmax-camax-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.239364153,0.91943128,0.733333333,-14.92320317,14.57755409,-33.54679221,-7.018963263,4.638216821,-2.022326917
qNet-dvdtmax-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.265535359,0.91943128,0.733333333,-16.63583445,15.23403016,-42.10692609,-12.02192382,0.066027722,-6.02991849
qNet-dvdtmax-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143029,0.333334222,0.727272727,0.5,0.6,0.2376021,0.91943128,0.733333333,-14.48824178,14.83004631,-31.7539082,-8.148972076,4.316533584,-0.982785375
qNet-vmax-vrest-APD50,0.8125,0.4375,0.75,0.945454545,0.73015873,0.875,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.428570357,2.999992,0.440000616,0.750000438,0.333334222,0.666666667,0.545454545,0.6,0.225295226,0.928909953,0.733333333,-13.32874854,14.34135242,-13.81534692,-0.325605712,13.32728003,22.04000177
