Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
dvdtmax-vmax-max_dv-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.8125,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999563,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.25818466,0.91943128,0.733333333,-70.77505565,-41.02732402,-83.2939645,55.48168814,22.34017504,17.73266811,-66.93743054,139.033779
dvdtmax-vmax-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.261855521,0.924170616,0.733333333,-46.18033461,-15.74509871,-84.0116634,41.72751819,-33.1966404,47.70557078,-33.27669638,91.47375616
dvdtmax-vrest-APD50-camax-carest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.746031746,0.895833333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.428570571,3.999988,0.4000006,0.714286071,0.30000084,0.727272727,0.571428571,0.666666667,0.222336723,0.933649289,0.733333333,-17.19555581,11.18426848,8.234808746,32.21996125,69.90807825,-3.266767578,-15.80080061,-14.29889257
dvdtmax-vrest-APD50-carest-CaTD50-CaTD90,0.875,0.5,0.8125,0.945454545,0.746031746,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,8.799914201,1.428570571,4.499979,0.4000006,0.642857679,0.30000084,0.75,0.615384615,0.666666667,0.242669313,0.928909953,0.733333333,-24.61817698,5.025330648,9.339463381,29.22299378,38.627902,1.918286541,-25.86065815,52.52001816
dvdtmax-vrest-APD90-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.73015873,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.25015515,0.928909953,0.733333333,-18.7222109,12.64177881,-15.63799903,27.137289,-24.16837067,27.27574994,-5.495312566,70.08046647
dvdtmax-APD50-APD90-max_dv-carest-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.545454545,0.6,0.245313475,0.924170616,0.733333333,-24.32779885,-0.689082418,-12.6911284,-39.96708683,15.47334607,-43.54684923,58.28235435,107.2312966
dvdtmax-APD50-APD90-camax-carest-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.8125,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.666666667,0.5,0.6,0.25851633,0.914691943,0.733333333,-23.33287891,-1.511332691,-20.82002591,-74.87603297,-60.6583079,26.12323121,63.63771873,155.2230772
dvdtmax-APD50-max_dv-camax-carest-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.250469672,0.924170616,0.733333333,-20.4061704,3.489415344,-20.28167883,-25.88010606,-38.36149235,-17.56058521,67.10849422,96.25623591
dvdtmax-APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.5,0.6,0.247325092,0.924170616,0.733333333,-23.85986555,-0.131727407,-15.97379491,-40.16310304,-36.91174202,61.31130241,-0.150258889,112.6165568
dvdtmax-APD90-max_dv-camax-carest-CaTD90,0.8125,0.4375,0.75,0.927272727,0.713888889,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.761905079,0.333334222,0.666666667,0.545454545,0.6,0.239772378,0.928909953,0.733333333,-19.04618421,4.857334596,-16.26364693,48.74541839,-63.41161803,-39.43401469,62.69811578,56.4025793
